,id,lat,lon,l3,rooms,bathrooms,surface_total,surface_covered,price,property_type
14382,Gwdgmzk37bRB98Gv76rCHw==,-34.5766545,-58.4220915,Palermo,1.0,1.0,20.0,20.0,59000.0,Departamento
14383,cGmqHxNvYmlGEln4K7Rgkg==,-34.5930633,-58.4089484,Palermo,2.0,1.0,42.0,38.0,145000.0,Departamento
14384,tH3oTj2UV0X25TzEfP/Mgw==,-34.5719761,-58.4293297,Palermo,2.0,2.0,68.0,59.0,275000.0,Departamento
14385,cMYSAnkCGsYBbj+waZSBbw==,-34.5970232654,-58.4158027926,Palermo,2.0,1.0,41.0,35.0,114000.0,Departamento
14386,YyQ+NAcoVTstPkZ/3M04+w==,-34.59092,-58.4333887,Palermo,2.0,1.0,56.0,52.0,173500.0,Departamento
14387,GMbYwzJ7GI//9tLIKooz8g==,-34.5948795,-58.4146397,Palermo,1.0,1.0,46.0,39.0,99000.0,Departamento
14388,8ly7LF+t54KNygonvuvIJQ==,-34.5804283,-58.4315368,Palermo,2.0,2.0,49.0,45.0,139000.0,Departamento
14389,nV0VZf8xUvhTHL9F8BEH8Q==,-34.5948795,-58.4146397,Palermo,1.0,1.0,34.0,31.0,79000.0,Departamento
14390,7mcfvi7b4vdKFs5vHfmmJg==,-34.5688694,-58.4495894,Belgrano,2.0,1.0,49.0,49.0,115000.0,Departamento
14391,DmWz8kDUwnHy2qpXylsLGA==,-34.5654173,-58.4577237,Belgrano,2.0,1.0,37.0,34.0,130000.0,Departamento
14392,JBdRizCh0SlzcNlEpEXizg==,-34.5669547,-58.45553,Belgrano,2.0,1.0,45.0,45.0,89900.0,Departamento
14393,6mN/vjqeI4JaI8QEdMWY/Q==,-34.5582056,-58.4429231,Belgrano,2.0,1.0,49.0,49.0,182000.0,Departamento
14394,qhPVDBD9W9zBischX/Pbsg==,-34.6019071,-58.3894361,Congreso,2.0,1.0,54.0,51.0,97000.0,Departamento
14395,rV/Iqyqm6ED/zDKQ8Ush/Q==,-34.5925942,-58.3929046,Recoleta,2.0,1.0,38.0,38.0,95000.0,Departamento
14396,O7Y6Mh76maaBFAeXncZaEQ==,-34.59724426,-58.38964462,Recoleta,2.0,1.0,48.0,48.0,215000.0,Departamento
14397,puzhiPMjRuc6Kkgjkdw16Q==,-34.5930398,-58.4001831,Recoleta,1.0,1.0,40.0,40.0,116000.0,Departamento
